"#""hg38.knownGene.name""",hg38.knownGene.strand,hg38.knownGene.exonCount,hg38.knownGene.proteinID,geneSymbol,refseq,description
ENST00000515026.1,+,6,,H2AZ1-DT,,H2AZ1-DT (from geneSymbol)
ENST00000508136.1,-,6,D6R9P2,SLC9B2,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D6R9P2)
ENST00000512806.1,-,2,,SLC9B2,,solute carrier family 9 member B2 (from HGNC SLC9B2)
ENST00000296424.9,-,10,Q9BUT1,BDH2,NM_020139,"Homo sapiens 3-hydroxybutyrate dehydrogenase 2 (BDH2), mRNA. (from RefSeq NM_020139)"
ENST00000492366.5,-,9,,BDH2,,3-hydroxybutyrate dehydrogenase 2 (from HGNC BDH2)
ENST00000464039.5,-,10,,BDH2,,3-hydroxybutyrate dehydrogenase 2 (from HGNC BDH2)
ENST00000475058.5,-,10,,BDH2,,3-hydroxybutyrate dehydrogenase 2 (from HGNC BDH2)
ENST00000506521.5,-,6,D6RBF6,BDH2,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D6RBF6)
ENST00000511354.5,-,7,D6RFG2,BDH2,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D6RFG2)
ENST00000504285.5,-,7,D6RIR6,BDH2,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D6RIR6)
ENST00000509245.1,-,6,D6R9U8,BDH2,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D6R9U8)
ENST00000513518.1,-,4,,BDH2,,3-hydroxybutyrate dehydrogenase 2 (from HGNC BDH2)
ENST00000380026.8,-,47,Q02224,CENPE,NM_001286734,"Homo sapiens centromere protein E (CENPE), transcript variant 2, mRNA. (from RefSeq NM_001286734)"
ENST00000265148.9,-,49,Q02224,CENPE,NM_001813,"Homo sapiens centromere protein E (CENPE), transcript variant 1, mRNA. (from RefSeq NM_001813)"
ENST00000509823.2,-,2,A0A5F9ZH24,CENPE,,centromere protein E (from HGNC CENPE)
ENST00000515478.1,-,2,,CENPE,,centromere protein E (from HGNC CENPE)
ENST00000509120.2,-,3,,CENPE,,centromere protein E (from HGNC CENPE)
ENST00000514974.1,-,7,D6RHK2,CENPE,,Belongs to the kinesin-like protein family. (from UniProt D6RHK2)
ENST00000668077.1,+,4,,LINC02428,,long intergenic non-protein coding RNA 2428 (from HGNC LINC02428)
ENST00000656681.1,+,3,,LINC02428,,long intergenic non-protein coding RNA 2428 (from HGNC LINC02428)
ENST00000656104.1,+,4,,LINC02428,,long intergenic non-protein coding RNA 2428 (from HGNC LINC02428)
ENST00000513793.5,+,4,,LINC02428,,long intergenic non-protein coding RNA 2428 (from HGNC LINC02428)
ENST00000508099.5,+,4,,LINC02428,,long intergenic non-protein coding RNA 2428 (from HGNC LINC02428)
ENST00000664815.2,+,4,,LINC02428,,long intergenic non-protein coding RNA 2428 (from HGNC LINC02428)
ENST00000657481.2,+,3,,LINC02428,,long intergenic non-protein coding RNA 2428 (from HGNC LINC02428)
ENST00000510200.4,+,4,,LINC02428,NR_125925,"Homo sapiens long intergenic non-protein coding RNA 2428 (LINC02428), long non-coding RNA. (from RefSeq NR_125925)"
ENST00000666142.1,+,5,,LINC02428,,long intergenic non-protein coding RNA 2428 (from HGNC LINC02428)
ENST00000687316.1,+,3,,LINC02428,,long intergenic non-protein coding RNA 2428 (from HGNC LINC02428)
ENST00000701460.1,+,4,,LINC02428,,long intergenic non-protein coding RNA 2428 (from HGNC LINC02428)
ENST00000669559.1,+,4,,LINC02428,,long intergenic non-protein coding RNA 2428 (from HGNC LINC02428)
ENST00000502936.1,+,5,,TACR3-AS1,,TACR3-AS1 (from geneSymbol)
ENST00000512401.5,+,5,,TACR3-AS1,,TACR3-AS1 (from geneSymbol)
ENST00000652710.1,-,3,,ENSG00000250920,,ENSG00000250920 (from geneSymbol)
ENST00000664047.1,-,4,,ENSG00000250920,,ENSG00000250920 (from geneSymbol)
ENST00000656698.1,-,4,,ENSG00000250920,,ENSG00000250920 (from geneSymbol)
ENST00000668906.1,-,3,,ENSG00000250920,,ENSG00000250920 (from geneSymbol)
ENST00000671183.1,-,3,,ENSG00000250920,,ENSG00000250920 (from geneSymbol)
ENST00000662651.1,-,2,,ENSG00000250920,,ENSG00000250920 (from geneSymbol)
ENST00000669002.1,-,3,,ENSG00000250920,,ENSG00000250920 (from geneSymbol)
ENST00000509399.1,-,4,,ENSG00000250920,,ENSG00000250920 (from geneSymbol)
ENST00000506389.1,+,1,,DDX3P3,,DEAD-box helicase 3 pseudogene 3 (from HGNC DDX3P3)
ENST00000304883.3,-,5,P29371,TACR3,NM_001059,"Homo sapiens tachykinin receptor 3 (TACR3), mRNA. (from RefSeq NM_001059)"
ENST00000653472.1,+,2,,ENSG00000286291,,ENSG00000286291 (from geneSymbol)
ENST00000516651.1,+,1,,RNU6-635P,,"RNA, U6 small nuclear 635, pseudogene (from HGNC RNU6-635P)"
ENST00000510505.2,+,4,,LINC02503,,long intergenic non-protein coding RNA 2503 (from HGNC LINC02503)
ENST00000514327.5,+,6,,ENSG00000251170,,ENSG00000251170 (from geneSymbol)
ENST00000671148.1,+,3,,ENSG00000251170,,ENSG00000251170 (from geneSymbol)
ENST00000505680.1,+,4,,ENSG00000251170,,ENSG00000251170 (from geneSymbol)
ENST00000394767.3,-,3,J9JIF5,CXXC4,NM_025212,"Homo sapiens CXXC finger protein 4 (CXXC4), transcript variant 1, mRNA. (from RefSeq NM_025212)"
ENST00000466963.1,-,3,,CXXC4,NR_132741,"Homo sapiens CXXC finger protein 4 (CXXC4), transcript variant 2, non-coding RNA. (from RefSeq NR_132741)"
ENST00000515509.1,-,2,,CXXC4,,CXXC finger protein 4 (from HGNC CXXC4)
ENST00000698535.1,-,2,A0A8V8TLX0,CXXC4,,CXXC finger protein 4 (from HGNC CXXC4)
ENST00000664466.1,+,5,,CXXC4-AS1,,CXXC4 antisense RNA 1 (from HGNC CXXC4-AS1)
ENST00000500179.1,+,10,,CXXC4-AS1,NR_125926,"Homo sapiens CXXC4 antisense RNA 1 (CXXC4-AS1), long non-coding RNA. (from RefSeq NR_125926)"
ENST00000508358.1,+,4,,ENSG00000250670,,ENSG00000250670 (from geneSymbol)
ENST00000655215.1,+,6,,CXXC4-AS1,,CXXC4 antisense RNA 1 (from HGNC CXXC4-AS1)
ENST00000515127.1,-,6,,ENSG00000248242,,ENSG00000248242 (from geneSymbol)
ENST00000474399.2,-,1,,RPL6P14,,ribosomal protein L6 pseudogene 14 (from HGNC RPL6P14)
ENST00000515649.2,+,5,,ENSG00000248373,,ENSG00000248373 (from geneSymbol)
ENST00000671069.1,+,7,,ENSG00000248373,,ENSG00000248373 (from geneSymbol)
ENST00000506148.5,+,4,,ENSG00000248373,,ENSG00000248373 (from geneSymbol)
ENST00000701312.1,+,2,,ENSG00000248373,,ENSG00000248373 (from geneSymbol)
ENST00000506386.1,+,4,,ENSG00000248373,,ENSG00000248373 (from geneSymbol)
ENST00000516097.2,+,1,,RNU6-351P,,"RNA, U6 small nuclear 351, pseudogene (from HGNC RNU6-351P)"
ENST00000611455.1,-,1,,ENSG00000276992,,ENSG00000276992 (from geneSymbol)
ENST00000505438.2,-,1,,ENSG00000251473,,ENSG00000251473 (from geneSymbol)
ENST00000516327.1,+,1,,ENSG00000252136,,ENSG00000252136 (from geneSymbol)
ENST00000504082.1,-,2,,ENSG00000251259,,ENSG00000251259 (from geneSymbol)
ENST00000305737.6,+,3,Q6N021,TET2,NM_017628,"Homo sapiens tet methylcytosine dioxygenase 2 (TET2), transcript variant 2, mRNA. (from RefSeq NM_017628)"
ENST00000513237.5,+,11,E7EQS8,TET2,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt E7EQS8)
ENST00000540549.5,+,11,Q6N021,TET2,,Catalyzes the conversion of methylcytosine (5mC) to 5-  hydroxymethylcytosine (hmC). Plays an important role in  myelopoiesis. The clear function of 5-hydroxymethylcytosine (hmC)  is still unclear but it may influence chromatin structure and  recruit specific factors or may constitute an intermediate  component in cytosine demethylation. (from UniProt Q6N021)
ENST00000265149.9,+,10,Q6N021,TET2,,Catalyzes the conversion of methylcytosine (5mC) to 5-  hydroxymethylcytosine (hmC). Plays an important role in  myelopoiesis. The clear function of 5-hydroxymethylcytosine (hmC)  is still unclear but it may influence chromatin structure and  recruit specific factors or may constitute an intermediate  component in cytosine demethylation. (from UniProt Q6N021)
ENST00000380013.9,+,11,Q6N021,TET2,NM_001127208,"Homo sapiens tet methylcytosine dioxygenase 2 (TET2), transcript variant 1, mRNA. (from RefSeq NM_001127208)"
ENST00000504042.5,+,3,,TET2,,tet methylcytosine dioxygenase 2 (from HGNC TET2)
ENST00000413648.2,+,3,E7EPB1,TET2,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt E7EPB1)
ENST00000505801.1,+,2,,TET2,,tet methylcytosine dioxygenase 2 (from HGNC TET2)
ENST00000514870.1,+,3,D6RE87,TET2,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D6RE87)
ENST00000515414.1,-,5,,TET2-AS1,,TET2 antisense RNA 1 (from HGNC TET2-AS1)
ENST00000480252.3,+,1,,RN7SL89P,,"RNA, 7SL, cytoplasmic 89, pseudogene (from HGNC RN7SL89P)"
ENST00000341695.10,-,12,Q9H2U2,PPA2,NM_176869,"Homo sapiens inorganic pyrophosphatase 2 (PPA2), transcript variant 1, mRNA; nuclear gene for mitochondrial product. (from RefSeq NM_176869)"
ENST00000348706.9,-,11,Q9H2U2,PPA2,NM_006903,"Homo sapiens inorganic pyrophosphatase 2 (PPA2), transcript variant 2, mRNA; nuclear gene for mitochondrial product. (from RefSeq NM_006903)"
ENST00000509031.5,-,13,A0A0C4DGB9,PPA2,,pyrophosphatase (inorganic) 2 (from HGNC PPA2)
ENST00000354147.7,-,6,Q9H2U2,PPA2,NM_176867,"Homo sapiens inorganic pyrophosphatase 2 (PPA2), transcript variant 4, mRNA; nuclear gene for mitochondrial product. (from RefSeq NM_176867)"
ENST00000513605.5,-,5,,PPA2,,pyrophosphatase (inorganic) 2 (from HGNC PPA2)
ENST00000515567.5,-,4,H0YAK2,PPA2,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt H0YAK2)
ENST00000351450.10,-,10,F8W7R6,PPA2,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt F8W7R6)
ENST00000432483.6,-,8,Q9H2U2,PPA2,NM_176866,"Homo sapiens inorganic pyrophosphatase 2 (PPA2), transcript variant 3, mRNA; nuclear gene for mitochondrial product. (from RefSeq NM_176866)"
ENST00000503171.5,-,7,,PPA2,,pyrophosphatase (inorganic) 2 (from HGNC PPA2)
ENST00000510015.5,-,6,D6R967,PPA2,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D6R967)
ENST00000509426.5,-,9,,PPA2,,pyrophosphatase (inorganic) 2 (from HGNC PPA2)
ENST00000508518.5,-,7,H0Y9D8,PPA2,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt H0Y9D8)
ENST00000514209.5,-,5,F8W7R6,PPA2,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt F8W7R6)
ENST00000506815.5,-,7,H0Y8X2,PPA2,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt H0Y8X2)
ENST00000457404.6,-,8,,PPA2,,pyrophosphatase (inorganic) 2 (from HGNC PPA2)
ENST00000364047.1,+,1,,RNU6-553P,,"RNA, U6 small nuclear 553, pseudogene (from HGNC RNU6-553P)"
ENST00000502833.5,-,8,,PPA2,,pyrophosphatase (inorganic) 2 (from HGNC PPA2)
ENST00000504028.5,-,7,D6RGV9,PPA2,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D6RGV9)
ENST00000502596.5,-,6,D6RGI1,PPA2,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D6RGI1)
ENST00000513649.1,-,7,D6RAD3,PPA2,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D6RAD3)
ENST00000499847.6,-,5,,PPA2,,pyrophosphatase (inorganic) 2 (from HGNC PPA2)
ENST00000502610.1,-,2,,PPA2,,pyrophosphatase (inorganic) 2 (from HGNC PPA2)
ENST00000505713.1,-,2,,PPA2,,pyrophosphatase (inorganic) 2 (from HGNC PPA2)
ENST00000514975.1,+,1,,EEF1A1P9,,eukaryotic translation elongation factor 1 alpha 1 pseudogene 9 (from HGNC EEF1A1P9)
ENST00000502488.1,-,1,,PIMREGP2,,PIMREGP2 (from geneSymbol)
ENST00000510257.1,+,1,,ATP5F1EP1,,ATP synthase F1 subunit epsilon pseudogene 1 (from HGNC ATP5F1EP1)
ENST00000514879.1,-,4,,ENSG00000250522,,ENSG00000250522 (from geneSymbol)
ENST00000265154.6,+,4,Q9NXL2,ARHGEF38,NM_017700,"Homo sapiens Rho guanine nucleotide exchange factor 38 (ARHGEF38), transcript variant 2, mRNA. (from RefSeq NM_017700)"
ENST00000420470.3,+,14,Q9NXL2,ARHGEF38,NM_001242729,"Homo sapiens Rho guanine nucleotide exchange factor 38 (ARHGEF38), transcript variant 1, mRNA. (from RefSeq NM_001242729)"
ENST00000506828.1,+,4,,ARHGEF38,,Rho guanine nucleotide exchange factor 38 (from HGNC ARHGEF38)
ENST00000512262.1,+,3,,ARHGEF38-IT1,NR_046840,"Homo sapiens ARHGEF38 intronic transcript 1 (ARHGEF38-IT1), long non-coding RNA. (from RefSeq NR_046840)"
ENST00000508036.2,+,10,,ARHGEF38,,Rho guanine nucleotide exchange factor 38 (from HGNC ARHGEF38)
ENST00000503289.1,+,5,,ARHGEF38,,Rho guanine nucleotide exchange factor 38 (from HGNC ARHGEF38)
ENST00000503155.1,-,1,,ENSG00000248778,,ENSG00000248778 (from geneSymbol)
ENST00000340139.10,-,8,Q96CB8,INTS12,NM_020395,"Homo sapiens integrator complex subunit 12 (INTS12), transcript variant 1, mRNA. (from RefSeq NM_020395)"
ENST00000394735.5,-,8,Q96CB8,INTS12,,"Component of the Integrator complex, a complex involved  in the small nuclear RNAs (snRNA) U1 and U2 transcription and in  their 3'-box-dependent processing. The Integrator complex is  associated with the C-terminal domain (CTD) of RNA polymerase II  largest subunit (POLR2A) and is recruited to the U1 and U2 snRNAs  genes. (from UniProt Q96CB8)"
ENST00000451321.6,-,7,Q96CB8,INTS12,NM_001142471,"Homo sapiens integrator complex subunit 12 (INTS12), transcript variant 2, mRNA. (from RefSeq NM_001142471)"
ENST00000493425.1,-,2,,INTS12,,integrator complex subunit 12 (from HGNC INTS12)
ENST00000503746.5,-,5,E9PGI3,INTS12,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt E9PGI3)
ENST00000420368.6,-,6,C9J0M6,INTS12,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt C9J0M6)
ENST00000510406.1,+,6,,ARHGEF38,,Rho guanine nucleotide exchange factor 38 (from HGNC ARHGEF38)
ENST00000416543.5,-,3,C9JDP3,INTS12,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt C9JDP3)
ENST00000433009.1,-,4,A0A1B0GX90,INTS12,,integrator complex subunit 12 (from HGNC INTS12)
ENST00000510876.1,-,4,D6R9W3,INTS12,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D6R9W3)
ENST00000515819.1,-,2,D6R9Y5,INTS12,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D6R9Y5)
ENST00000508961.1,+,3,,ARHGEF38,,Rho guanine nucleotide exchange factor 38 (from HGNC ARHGEF38)
ENST00000512828.1,+,2,D6R949,GSTCD,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D6R949)
ENST00000515279.6,+,12,Q8NEC7,GSTCD,NM_001370181,"Homo sapiens glutathione S-transferase C-terminal domain containing (GSTCD), transcript variant 3, mRNA. (from RefSeq NM_001370181)"
ENST00000394730.7,+,12,Q8NEC7,GSTCD,NM_024751,"Homo sapiens glutathione S-transferase C-terminal domain containing (GSTCD), transcript variant 2, mRNA. (from RefSeq NM_024751)"
ENST00000515255.5,+,10,,GSTCD,,glutathione S-transferase C-terminal domain containing (from HGNC GSTCD)
ENST00000484843.1,+,6,,GSTCD,,glutathione S-transferase C-terminal domain containing (from HGNC GSTCD)
ENST00000507281.5,+,6,D6R9W2,GSTCD,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D6R9W2)
ENST00000360505.9,+,12,Q8NEC7,GSTCD,NM_001031720,"Homo sapiens glutathione S-transferase C-terminal domain containing (GSTCD), transcript variant 1, mRNA. (from RefSeq NM_001031720)"
ENST00000510865.5,+,3,D6RCC4,GSTCD,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D6RCC4)
ENST00000509336.5,+,3,D6RCC9,GSTCD,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D6RCC9)
ENST00000394728.4,+,12,Q8NEC7,GSTCD,,Belongs to the GSTCD family. (from UniProt Q8NEC7)
ENST00000503409.1,+,2,,GSTCD,,glutathione S-transferase C-terminal domain containing (from HGNC GSTCD)
ENST00000504955.1,-,4,,GSTCD-AS1,,GSTCD-AS1 (from geneSymbol)
ENST00000506527.5,-,6,,GSTCD-AS1,,GSTCD-AS1 (from geneSymbol)
ENST00000509003.1,-,4,,GSTCD-AS1,NR_125927,"Homo sapiens GSTCD antisense RNA 1 (GSTCD-AS1), long non-coding RNA. (from RefSeq NR_125927)"
ENST00000504304.5,+,5,D6RE63,NPNT,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D6RE63)
ENST00000453617.6,+,13,Q6UXI9,NPNT,NM_001184690,"Homo sapiens nephronectin (NPNT), transcript variant 1, mRNA. (from RefSeq NM_001184690)"
ENST00000514622.5,+,11,Q6UXI9,NPNT,NM_001184692,"Homo sapiens nephronectin (NPNT), transcript variant 4, mRNA. (from RefSeq NM_001184692)"
ENST00000427316.6,+,13,Q6UXI9,NPNT,NM_001184691,"Homo sapiens nephronectin (NPNT), transcript variant 3, mRNA. (from RefSeq NM_001184691)"
ENST00000305572.12,+,11,Q6UXI9,NPNT,,"Functional ligand of integrin alpha-8/beta-1 in kidney  development. Regulates the expression of GDNF with integrin alpha-  8/beta-1 which is essential for kidney development. May also play  a role in the development and function of various tissues,  regulating cell adhesion, spreading and survival through the  binding of several integrins (By similarity). (from UniProt Q6UXI9)"
ENST00000379987.7,+,12,Q6UXI9,NPNT,NM_001033047,"Homo sapiens nephronectin (NPNT), transcript variant 2, mRNA. (from RefSeq NM_001033047)"
ENST00000506666.5,+,12,Q6UXI9,NPNT,NM_001184693,"Homo sapiens nephronectin (NPNT), transcript variant 5, mRNA. (from RefSeq NM_001184693)"
ENST00000503451.5,+,14,D6RH31,NPNT,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D6RH31)
ENST00000514837.1,+,10,H0YAK9,NPNT,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt H0YAK9)
ENST00000513430.5,+,7,,NPNT,,nephronectin (from HGNC NPNT)
ENST00000506056.5,+,4,,NPNT,,nephronectin (from HGNC NPNT)
ENST00000511518.1,+,2,,NPNT,,nephronectin (from HGNC NPNT)
ENST00000505821.1,+,6,,NPNT,,nephronectin (from HGNC NPNT)
ENST00000511059.1,-,2,,ENSG00000250740,,ENSG00000250740 (from geneSymbol)
ENST00000512514.1,-,2,,ENSG00000250740,,ENSG00000250740 (from geneSymbol)
ENST00000514632.1,+,3,,NPNT,,nephronectin (from HGNC NPNT)
ENST00000504787.1,+,2,H0Y8M1,NPNT,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt H0Y8M1)
ENST00000505917.1,+,2,H0YA60,NPNT,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt H0YA60)
ENST00000513220.1,-,4,,ENSG00000249635,NR_125928,"Homo sapiens uncharacterized LOC101929577 (LOC101929577), long non-coding RNA. (from RefSeq NR_125928)"
ENST00000394708.7,-,26,Q8TEA7,TBCK,NM_001163435,"Homo sapiens TBC1 domain containing kinase (TBCK), transcript variant 1, mRNA. (from RefSeq NM_001163435)"
ENST00000273980.10,-,26,Q8TEA7,TBCK,NM_001163436,"Homo sapiens TBC1 domain containing kinase (TBCK), transcript variant 2, mRNA. (from RefSeq NM_001163436)"
ENST00000510927.5,-,17,,TBCK,,TBC1 domain containing kinase (from HGNC TBCK)
ENST00000361687.8,-,24,Q8TEA7,TBCK,NM_033115,"Homo sapiens TBC1 domain containing kinase (TBCK), transcript variant 4, mRNA. (from RefSeq NM_033115)"
ENST00000394706.7,-,26,Q8TEA7,TBCK,NM_001163437,"Homo sapiens TBC1 domain containing kinase (TBCK), transcript variant 3, mRNA. (from RefSeq NM_001163437)"
ENST00000467183.6,-,27,Q5HYF5,TBCK,,TBC1 domain containing kinase (from HGNC TBCK)
ENST00000514689.5,-,5,,TBCK,,TBC1 domain containing kinase (from HGNC TBCK)
ENST00000515705.5,-,6,,TBCK,,TBC1 domain containing kinase (from HGNC TBCK)
ENST00000506384.1,-,3,,TBCK,,TBC1 domain containing kinase (from HGNC TBCK)
ENST00000511011.5,-,5,,TBCK,,TBC1 domain containing kinase (from HGNC TBCK)
ENST00000506615.1,-,4,,TBCK,,TBC1 domain containing kinase (from HGNC TBCK)
ENST00000508666.5,-,9,H0Y8U7,TBCK,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt H0Y8U7)
ENST00000503516.1,-,7,D6RC61,TBCK,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D6RC61)
ENST00000505574.1,-,3,H0YA45,TBCK,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt H0YA45)
ENST00000503832.1,-,5,H0Y959,TBCK,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt H0Y959)
ENST00000506280.1,-,6,,TBCK,,TBC1 domain containing kinase (from HGNC TBCK)
ENST00000509532.5,-,6,D6RDG2,TBCK,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D6RDG2)
ENST00000509862.5,-,4,D6RDY5,TBCK,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D6RDY5)
ENST00000507696.1,-,4,D6R950,TBCK,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D6R950)
ENST00000510207.5,+,5,D6R937,AIMP1,,The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D6R937)
ENST00000358008.7,+,7,Q12904,AIMP1,NM_004757,"Homo sapiens aminoacyl tRNA synthetase complex interacting multifunctional protein 1 (AIMP1), transcript variant 1, mRNA. (from RefSeq NM_004757)"
ENST00000682186.1,+,1,,AIMP1,,aminoacyl tRNA synthetase complex interacting multifunctional protein 1 (from HGNC AIMP1)
ENST00000684504.1,+,7,A0A804HJ47,AIMP1,,aminoacyl tRNA synthetase complex interacting multifunctional protein 1 (from HGNC AIMP1)
ENST00000442366.6,+,6,A0A8C8MUD1,AIMP1,,aminoacyl tRNA synthetase complex interacting multifunctional protein 1 (from HGNC AIMP1)
ENST00000394701.6,+,6,A0A8C8KIA0,AIMP1,,aminoacyl tRNA synthetase complex interacting multifunctional protein 1 (from HGNC AIMP1)
ENST00000672337.1,+,8,Q12904,AIMP1,,Non-catalytic component of the multisynthase complex.  Stimulates the catalytic activity of cytoplasmic arginyl-tRNA  synthase. Binds tRNA. Possesses inflammatory cytokine activity.  Negatively regulates TGF-beta signaling through stabilization of  SMURF2 by binding to SMURF2 and inhibiting its SMAD7-mediated  degradation. Involved in glucose homeostasis through induction of  glucagon secretion at low glucose levels. Promotes dermal  fibroblast proliferation and wound repair. Regulates KDELR1-  mediated retention of HSP90B1/gp96 in the endoplasmic reticulum.  Plays a role in angiogenesis by inducing endothelial cell  migration at low concentrations and endothelian cell apoptosis at  high concentrations. Induces maturation of dendritic cells and  monocyte cell adhesion. Modulates endothelial cell responses by  degrading HIF-1A through interaction with PSMA7. (from UniProt Q12904)
ENST00000672341.1,+,7,Q12904,AIMP1,NM_001142416,"Homo sapiens aminoacyl tRNA synthetase complex interacting multifunctional protein 1 (AIMP1), transcript variant 3, mRNA. (from RefSeq NM_001142416)"
ENST00000671868.1,+,8,Q12904,AIMP1,,Non-catalytic component of the multisynthase complex.  Stimulates the catalytic activity of cytoplasmic arginyl-tRNA  synthase. Binds tRNA. Possesses inflammatory cytokine activity.  Negatively regulates TGF-beta signaling through stabilization of  SMURF2 by binding to SMURF2 and inhibiting its SMAD7-mediated  degradation. Involved in glucose homeostasis through induction of  glucagon secretion at low glucose levels. Promotes dermal  fibroblast proliferation and wound repair. Regulates KDELR1-  mediated retention of HSP90B1/gp96 in the endoplasmic reticulum.  Plays a role in angiogenesis by inducing endothelial cell  migration at low concentrations and endothelian cell apoptosis at  high concentrations. Induces maturation of dendritic cells and  monocyte cell adhesion. Modulates endothelial cell responses by  degrading HIF-1A through interaction with PSMA7. (from UniProt Q12904)
ENST00000672003.1,+,8,A0A5F9ZHC5,AIMP1,,aminoacyl tRNA synthetase complex interacting multifunctional protein 1 (from HGNC AIMP1)
ENST00000673123.1,+,7,Q12904,AIMP1,,Non-catalytic component of the multisynthase complex.  Stimulates the catalytic activity of cytoplasmic arginyl-tRNA  synthase. Binds tRNA. Possesses inflammatory cytokine activity.  Negatively regulates TGF-beta signaling through stabilization of  SMURF2 by binding to SMURF2 and inhibiting its SMAD7-mediated  degradation. Involved in glucose homeostasis through induction of  glucagon secretion at low glucose levels. Promotes dermal  fibroblast proliferation and wound repair. Regulates KDELR1-  mediated retention of HSP90B1/gp96 in the endoplasmic reticulum.  Plays a role in angiogenesis by inducing endothelial cell  migration at low concentrations and endothelian cell apoptosis at  high concentrations. Induces maturation of dendritic cells and  monocyte cell adhesion. Modulates endothelial cell responses by  degrading HIF-1A through interaction with PSMA7. (from UniProt Q12904)
